Channel,Region,Fresh,Milk,Grocery,Frozen,Detergents_Paper,Delicassen,Cluster,,,,,,,,,,,
2,3,12669,9656,7561,214,2674,1338,2,,,,,,,,,,,
2,3,7057,9810,9568,1762,3293,1776,1,,,,,,,,,,,
2,3,6353,8808,7684,2405,3516,7844,1,,,,,,,,,,,
1,3,13265,1196,4221,6404,507,1788,1,,,,,,,,,,,
2,3,22615,5410,7198,3915,1777,5185,1,,,Cluster,,Centroid,1,2,,1,2,Dist^p
2,3,9413,8259,5126,666,1795,1451,2,,1,2,,Fresh,35401.36923,7931.47861,,829480616.8,30565262.63,30565262.63
2,3,12126,3199,6975,480,3140,545,2,,2,2,,Grocery,9514.230769,5139.775401,,929731011.2,77918282.9,77918282.9
2,3,7579,4956,9426,1669,3321,2566,1,,3,2,,Frozen,10346.36923,7536.061497,,605818089.9,79102591.36,79102591.36
1,3,5963,3648,6192,425,1716,750,1,,4,1,,Detergent,6463.092308,2490.200535,,224961619.2,245908795.3,224961619.2
2,3,6006,11093,18881,1159,7425,2098,1,,5,2,,Delicassre,2933.046154,2873.088235,,741230023.7,24328246.98,24328246.98
2,3,3366,5403,12974,4400,5977,1744,2,,6,2,,,,,,629128331.4,26084581.94,26084581.94
2,3,13146,1124,4523,1420,549,497,1,,7,2,,,,,,825426962.1,11189233.38,11189233.38
2,3,31714,12319,11757,287,3881,2931,2,,8,2,,# of clusters,2,,,956791290.2,14073209.63,14073209.63
2,3,21217,6208,14982,3095,6707,602,2,,9,2,,,,,,992132815.4,194749580.2,194749580.2
2,3,24653,9465,12091,294,5058,2168,2,,10,2,,Minkowski p,2,,,1066635085,66807195.52,66807195.52
1,3,10253,1114,3821,397,964,412,1,,11,2,,,,,,630972526.2,59189949.3,59189949.3
2,3,1020,8816,12121,134,4508,1080,2,,12,1,,# of runs,40,,,71086795.14,649426651.1,71086795.14
1,3,5876,6157,2933,839,370,4478,1,,13,2,,,,,,259565742.4,248515248.4,248515248.4
2,3,18601,6327,10099,2205,2767,3181,2,,14,1,,# of iter,200,,,165846954.1,333361670.4,165846954.1
1,3,7780,2495,9464,669,2518,501,1,,15,2,,,,,,786429158.2,43593861.44,43593861.44
2,3,17546,4519,4602,1066,2259,2124,2,,16,2,,Converge,TRUE,,,1229419680,91695842.38,91695842.38
1,3,5567,871,2010,3383,375,569,2,,17,2,,,,,,996228573.9,55492311.27,55492311.27
1,3,31276,1917,4469,9408,2381,4334,2,,18,2,,Error,1.14436E+11,,,320749720.2,132028197.8,132028197.8
2,3,26373,36423,22019,5154,4337,16523,2,,19,2,,,,,,846982984.2,14428589.6,14428589.6
2,3,22647,9776,13792,2915,4482,5778,1,,20,2,,,,,,410858638.3,108349928.1,108349928.1
2,3,16165,4230,7595,201,4003,57,1,,21,2,,,,,,1050644407,61711854.91,61711854.91
