Month,monthly bus ridership,Level ,Residual ,Residual Square ,RMSE,Mean of Residual Square ,72736.79077,,,,,
1960-01,648,1120.54386,-472.5438596,223297.6993,269.6975913,,,,,,,
1960-02,646,1120.544,-474.544,225192.0079,,,,,,,,
1960-03,639,1120.544,-481.544,231884.6239,,Time Series ForeCasting ,,,,,,Accuracy (RMSE)
1960-04,654,1120.544,-466.544,217663.3039,,Level ,Equation ,based on average ,,,,269.6976
1960-05,630,1120.544,-490.544,240633.4159,,Trend ,,,,,,
1960-06,622,1120.544,-498.544,248546.1199,,Linear Trend ,Equation ,yt = b0+b1*t,,,,66.83291
1960-07,617,1120.544,-503.544,253556.5599,,Quadratic Trend ,Equation ,yt = b0+b1*t+b2*t,,,,60.759
1960-08,613,1120.544,-507.544,257600.9119,,Exdponential Trend ,Equation ,yt = a*e^(b1t)=ln(yt) = b0+b1*t,,,,
1960-09,661,1120.544,-459.544,211180.6879,,Seasonality,,,,,,
1960-10,695,1120.544,-425.544,181087.6959,,Additive Seasonality ,Equation ,yt = b0+b1D1+b2D2+b3D3+b4D4+b5D5…...+b11D11,,,,
1960-11,690,1120.544,-430.544,185368.1359,,Multiplicative Seasonality ,Equation ,yt = b0*e^(b1D1+b2D2+b3D3+b4D4+b5D5…...+b11D11),,,,
1960-12,707,1120.544,-413.544,171018.6399,,Multiple ,,,,,,
1961-01,817,1120.544,-303.544,92138.95994,,Trend + Seasonality,Equation ,,,,,
1961-02,839,1120.544,-281.544,79267.02394,,,,,,,,
1961-03,810,1120.544,-310.544,96437.57594,,,,,,,,
1961-04,789,1120.544,-331.544,109921.4239,,,,,,,,
1961-05,760,1120.544,-360.544,129991.9759,,,,,,,,
1961-06,724,1120.544,-396.544,157247.1439,,,,,,,,
1961-07,704,1120.544,-416.544,173508.9039,,,,,,,,
1961-08,691,1120.544,-429.544,184508.0479,,,,,,,,
1961-09,745,1120.544,-375.544,141033.2959,,,,,,,,
1961-10,803,1120.544,-317.544,100834.1919,,,,,,,,
1961-11,780,1120.544,-340.544,115970.2159,,,,,,,,
1961-12,761,1120.544,-359.544,129271.8879,,,,,,,,
1962-01,857,1120.544,-263.544,69455.43994,,,,,,,,
1962-02,907,1120.544,-213.544,45601.03994,,,,,,,,
1962-03,873,1120.544,-247.544,61278.03194,,,,,,,,
1962-04,910,1120.544,-210.544,44328.77594,,,,,,,,
1962-05,900,1120.544,-220.544,48639.65594,,,,,,,,
1962-06,880,1120.544,-240.544,57861.41594,,,,,,,,
1962-07,867,1120.544,-253.544,64284.55994,,,,,,,,
1962-08,854,1120.544,-266.544,71045.70394,,,,,,,,
1962-09,928,1120.544,-192.544,37073.19194,,,,,,,,
1962-10,1064,1120.544,-56.544,3197.223936,,,,,,,,
1962-11,1103,1120.544,-17.544,307.791936,,,,,,,,
1962-12,1026,1120.544,-94.544,8938.567936,,,,,,,,
1963-01,1102,1120.544,-18.544,343.879936,,,,,,,,
1963-02,1080,1120.544,-40.544,1643.815936,,,,,,,,
1963-03,1034,1120.544,-86.544,7489.863936,,,,,,,,
1963-04,1083,1120.544,-37.544,1409.551936,,,,,,,,
1963-05,1078,1120.544,-42.544,1809.991936,,,,,,,,
1963-06,1020,1120.544,-100.544,10109.09594,,,,,,,,
1963-07,984,1120.544,-136.544,18644.26394,,,,,,,,
1963-08,952,1120.544,-168.544,28407.07994,,,,,,,,
1963-09,1033,1120.544,-87.544,7663.951936,,,,,,,,
1963-10,1114,1120.544,-6.544,42.823936,,,,,,,,
1963-11,1160,1120.544,39.456,1556.775936,,,,,,,,
1963-12,1058,1120.544,-62.544,3911.751936,,,,,,,,
1964-01,1209,1120.544,88.456,7824.463936,,,,,,,,
1964-02,1200,1120.544,79.456,6313.255936,,,,,,,,
1964-03,1130,1120.544,9.456,89.415936,,,,,,,,
1964-04,1182,1120.544,61.456,3776.839936,,,,,,,,
1964-05,1152,1120.544,31.456,989.479936,,,,,,,,
1964-06,1116,1120.544,-4.544,20.647936,,,,,,,,
1964-07,1098,1120.544,-22.544,508.231936,,,,,,,,
1964-08,1044,1120.544,-76.544,5858.983936,,,,,,,,
1964-09,1142,1120.544,21.456,460.359936,,,,,,,,
